workua_title_uk,workua_slug,workua_url,page,discovered_at
Data Scientist,data-scientist,https://www.work.ua/career-guide/data-scientist/,1,2026-08-31
Digital-маркетолог,digital-marketer,https://www.work.ua/career-guide/digital-marketer/,1,2026-08-31
HTML-верстальник,html-maker,https://www.work.ua/career-guide/html-maker/,1,2026-08-31
iOS-розробник,ios-developer,https://www.work.ua/career-guide/ios-developer/,1,2026-08-31
Motion-дизайнер,motion-designer,https://www.work.ua/career-guide/motion-designer/,1,2026-08-31
PPC-спеціаліст,ppc-specialist,https://www.work.ua/career-guide/ppc-specialist/,1,2026-08-31
PR-менеджер,prmanager,https://www.work.ua/career-guide/prmanager/,1,2026-08-31
Project-менеджер,project-manager,https://www.work.ua/career-guide/project-manager/,1,2026-08-31
SEO-спеціаліст,seo-specialist,https://www.work.ua/career-guide/seo-specialist/,1,2026-08-31
3D-дизайнер,three-d-designer,https://www.work.ua/career-guide/three-d-designer/,1,2026-08-31
Актор,actor,https://www.work.ua/career-guide/actor/,2,2026-08-31
Адміністратор,administrator,https://www.work.ua/career-guide/administrator/,2,2026-08-31
Агроном,agronomist,https://www.work.ua/career-guide/agronomist/,2,2026-08-31
Аніматор,animator,https://www.work.ua/career-guide/animator/,2,2026-08-31
Архітектор,architect,https://www.work.ua/career-guide/architect/,2,2026-08-31
Барбер,barber,https://www.work.ua/career-guide/barber/,2,2026-08-31
Бариста,barista,https://www.work.ua/career-guide/barista/,2,2026-08-31
Автомеханік,mechanic,https://www.work.ua/career-guide/mechanic/,2,2026-08-31
SMM-менеджер,smm-manager,https://www.work.ua/career-guide/smm-manager/,2,2026-08-31
Адвокат,solicitor,https://www.work.ua/career-guide/solicitor/,2,2026-08-31
Бухгалтер,accountant,https://www.work.ua/career-guide/accountant/,3,2026-08-31
Бармен,barmen,https://www.work.ua/career-guide/barmen/,3,2026-08-31
Бджоляр,beekeeper,https://www.work.ua/career-guide/beekeeper/,3,2026-08-31
Біолог,biologist,https://www.work.ua/career-guide/biologist/,3,2026-08-31
Будівельник,builder,https://www.work.ua/career-guide/builder/,3,2026-08-31
Бізнес-аналітик,business-analyst,https://www.work.ua/career-guide/business-analyst/,3,2026-08-31
Бізнес-тренер,business-trainer,https://www.work.ua/career-guide/business-trainer/,3,2026-08-31
Бібліотекар,librarian,https://www.work.ua/career-guide/librarian/,3,2026-08-31
Вантажник,loader,https://www.work.ua/career-guide/loader/,3,2026-08-31
Бортпровідник,stewart,https://www.work.ua/career-guide/stewart/,3,2026-08-31
Водій,driver,https://www.work.ua/career-guide/driver/,4,2026-08-31
Виконроб,foreman,https://www.work.ua/career-guide/foreman/,4,2026-08-31
Геймдизайнер,game-designer,https://www.work.ua/career-guide/game-designer/,4,2026-08-31
Геодезист,geodesist,https://www.work.ua/career-guide/geodesist/,4,2026-08-31
Геолог,geologist,https://www.work.ua/career-guide/geologist/,4,2026-08-31
Візажист,makeup-artist,https://www.work.ua/career-guide/makeup-artist/,4,2026-08-31
Вчитель,teacher,https://www.work.ua/career-guide/teacher/,4,2026-08-31
Вихователь,upbringer,https://www.work.ua/career-guide/upbringer/,4,2026-08-31
Ветеринар,veterinarian,https://www.work.ua/career-guide/veterinarian/,4,2026-08-31
Відеооператор,videographer,https://www.work.ua/career-guide/videographer/,4,2026-08-31
Дизайнер,designer,https://www.work.ua/career-guide/designer/,5,2026-08-31
Детектив,detective,https://www.work.ua/career-guide/detective/,5,2026-08-31
Еколог,ecologist,https://www.work.ua/career-guide/ecologist/,5,2026-08-31
Економіст,economist,https://www.work.ua/career-guide/economist/,5,2026-08-31
Електрик,electrician,https://www.work.ua/career-guide/electrician/,5,2026-08-31
Ендокринолог,endocrinologist,https://www.work.ua/career-guide/endocrinologist/,5,2026-08-31
Експедитор,forwarder,https://www.work.ua/career-guide/forwarder/,5,2026-08-31
Грумер,groomer,https://www.work.ua/career-guide/groomer/,5,2026-08-31
Екскурсовод,guide,https://www.work.ua/career-guide/guide/,5,2026-08-31
Друкар,typographer,https://www.work.ua/career-guide/typographer/,5,2026-08-31
Карʼєрний консультант,career-consultant,https://www.work.ua/career-guide/career-consultant/,6,2026-08-31
Касир,cashier,https://www.work.ua/career-guide/cashier/,6,2026-08-31
Інкасатор,collector,https://www.work.ua/career-guide/collector/,6,2026-08-31
Інженер,engineer,https://www.work.ua/career-guide/engineer/,6,2026-08-31
Івент-менеджер,event-manager,https://www.work.ua/career-guide/event-manager/,6,2026-08-31
Інструктор тренажерного залу,gym-instructor,https://www.work.ua/career-guide/gym-instructor/,6,2026-08-31
Журналіст,journalist,https://www.work.ua/career-guide/journalist/,6,2026-08-31
Землевпорядник,landmanager,https://www.work.ua/career-guide/landmanager/,6,2026-08-31
Завідувач виробництва,production-manager,https://www.work.ua/career-guide/production-manager/,6,2026-08-31
Зварник,welder,https://www.work.ua/career-guide/welder/,6,2026-08-31
Категорійний менеджер,category-manager,https://www.work.ua/career-guide/category-manager/,7,2026-08-31
Кондитер,confectioner,https://www.work.ua/career-guide/confectioner/,7,2026-08-31
Контент-менеджер,content-manager,https://www.work.ua/career-guide/content-manager/,7,2026-08-31
Копірайтер,copywriter,https://www.work.ua/career-guide/copywriter/,7,2026-08-31
Косметолог,cosmetologist,https://www.work.ua/career-guide/cosmetologist/,7,2026-08-31
Кур’єр,courier,https://www.work.ua/career-guide/courier/,7,2026-08-31
Кризовий менеджер,crisis-manager,https://www.work.ua/career-guide/crisis-manager/,7,2026-08-31
Кінолог,cynologist,https://www.work.ua/career-guide/cynologist/,7,2026-08-31
Контролер якості,quality-controller,https://www.work.ua/career-guide/quality-controller/,7,2026-08-31
Комірник,storekeeper,https://www.work.ua/career-guide/storekeeper/,7,2026-08-31
Кухар,cook,https://www.work.ua/career-guide/cook/,8,2026-08-31
Лікар-лаборант,doctor-laboratory-assistant,https://www.work.ua/career-guide/doctor-laboratory-assistant/,8,2026-08-31
Ландшафтний дизайнер,landscaper,https://www.work.ua/career-guide/landscaper/,8,2026-08-31
Логіст,logistician,https://www.work.ua/career-guide/logistician/,8,2026-08-31
Логопед,logopedist,https://www.work.ua/career-guide/logopedist/,8,2026-08-31
Майстер манікюру,manicurist,https://www.work.ua/career-guide/manicurist/,8,2026-08-31
Маркетолог,marketer,https://www.work.ua/career-guide/marketer/,8,2026-08-31
Маркетинговий стратег,marketing-strategist,https://www.work.ua/career-guide/marketing-strategist/,8,2026-08-31
Маляр,painter,https://www.work.ua/career-guide/painter/,8,2026-08-31
Матрос,sailor,https://www.work.ua/career-guide/sailor/,8,2026-08-31
Машиніст крана,crane-operator,https://www.work.ua/career-guide/crane-operator/,9,2026-08-31
Менеджер з персоналу,hr-manager,https://www.work.ua/career-guide/hr-manager/,9,2026-08-31
Медіабаєр,mediabuyer,https://www.work.ua/career-guide/mediabuyer/,9,2026-08-31
Мерчендайзер,merchandiser,https://www.work.ua/career-guide/merchandiser/,9,2026-08-31
Модель,model,https://www.work.ua/career-guide/model/,9,2026-08-31
Монтажник,mounter,https://www.work.ua/career-guide/mounter/,9,2026-08-31
Медсестра,nurse,https://www.work.ua/career-guide/nurse/,9,2026-08-31
Менеджер з продажу,sales-manager,https://www.work.ua/career-guide/sales-manager/,9,2026-08-31
Машиніст метро,subway-driver,https://www.work.ua/career-guide/subway-driver/,9,2026-08-31
Менеджер з туризму,tourism-manager,https://www.work.ua/career-guide/tourism-manager/,9,2026-08-31
Оператор call-центру,call-center-operator,https://www.work.ua/career-guide/call-center-operator/,10,2026-08-31
Няня,childminder,https://www.work.ua/career-guide/childminder/,10,2026-08-31
Оператор АЗК,gas-station-operator,https://www.work.ua/career-guide/gas-station-operator/,10,2026-08-31
Оператор машинного доїння,milking-machine-operator,https://www.work.ua/career-guide/milking-machine-operator/,10,2026-08-31
Нотаріус,notary,https://www.work.ua/career-guide/notary/,10,2026-08-31
Офтальмолог,oculist,https://www.work.ua/career-guide/oculist/,10,2026-08-31
Офіс-менеджер,office-manager,https://www.work.ua/career-guide/office-manager/,10,2026-08-31
Пакувальник,packer,https://www.work.ua/career-guide/packer/,10,2026-08-31
Охоронець,security-guard,https://www.work.ua/career-guide/security-guard/,10,2026-08-31
Офіціант,waiter,https://www.work.ua/career-guide/waiter/,10,2026-08-31
Патологоанатом,anatomical-pathologist,https://www.work.ua/career-guide/anatomical-pathologist/,11,2026-08-31
Помічник керівника,assistant-manager,https://www.work.ua/career-guide/assistant-manager/,11,2026-08-31
Пекар,baker,https://www.work.ua/career-guide/baker/,11,2026-08-31
Перукар,hairdresser,https://www.work.ua/career-guide/hairdresser/,11,2026-08-31
Програміст Java,java-programmer,https://www.work.ua/career-guide/java-programmer/,11,2026-08-31
Поліцейський,policeman,https://www.work.ua/career-guide/policeman/,11,2026-08-31
Приватний детектив,private-detective,https://www.work.ua/career-guide/private-detective/,11,2026-08-31
Програміст PHP,programmer-php,https://www.work.ua/career-guide/programmer-php/,11,2026-08-31
