mnp_career_code,workua_title_uk,workua_slug,workua_url,mapping_status
accountant,Бухгалтер,accountant,https://www.work.ua/career-guide/accountant/,exact
actor,Актор,actor,https://www.work.ua/career-guide/actor/,new_from_workua
administrator,Адміністратор,administrator,https://www.work.ua/career-guide/administrator/,new_from_workua
advocate,Адвокат,solicitor,https://www.work.ua/career-guide/solicitor/,new_from_workua
agronomist,Агроном,agronomist,https://www.work.ua/career-guide/agronomist/,new_from_workua
animator_performer,Аніматор,animator,https://www.work.ua/career-guide/animator/,new_from_workua
architect,Архітектор,architect,https://www.work.ua/career-guide/architect/,new_from_workua
assembler_mounter,Монтажник,mounter,https://www.work.ua/career-guide/mounter/,new_from_workua
assistant_manager,Помічник керівника,assistant-manager,https://www.work.ua/career-guide/assistant-manager/,new_from_workua
baker,Пекар,baker,https://www.work.ua/career-guide/baker/,new_from_workua
barber,Барбер,barber,https://www.work.ua/career-guide/barber/,new_from_workua
barista,Бариста,barista,https://www.work.ua/career-guide/barista/,new_from_workua
bartender,Бармен,barmen,https://www.work.ua/career-guide/barmen/,new_from_workua
beekeeper,Бджоляр,beekeeper,https://www.work.ua/career-guide/beekeeper/,new_from_workua
biologist,Біолог,biologist,https://www.work.ua/career-guide/biologist/,new_from_workua
builder_general,Будівельник,builder,https://www.work.ua/career-guide/builder/,new_from_workua
business_analyst,Бізнес-аналітик,business-analyst,https://www.work.ua/career-guide/business-analyst/,new_from_workua
business_trainer,Бізнес-тренер,business-trainer,https://www.work.ua/career-guide/business-trainer/,new_from_workua
career_consultant,Кар'єрний консультант,career-consultant,https://www.work.ua/career-guide/career-consultant/,new_from_workua
carpenter_joiner,Столяр,carpenter,https://www.work.ua/career-guide/carpenter/,new_from_workua
cash_collector,Інкасатор,collector,https://www.work.ua/career-guide/collector/,new_from_workua
cashier,Касир,cashier,https://www.work.ua/career-guide/cashier/,new_from_workua
category_manager,Категорійний менеджер,category-manager,https://www.work.ua/career-guide/category-manager/,new_from_workua
chemist,Хімік,chemist,https://www.work.ua/career-guide/chemist/,new_from_workua
childminder,Няня,childminder,https://www.work.ua/career-guide/childminder/,new_from_workua
choreographer,Хореограф,choreographer,https://www.work.ua/career-guide/choreographer/,new_from_workua
civil_engineer_foreman,Виконроб,foreman,https://www.work.ua/career-guide/foreman/,new_from_workua
confectioner,Кондитер,confectioner,https://www.work.ua/career-guide/confectioner/,new_from_workua
content_manager,Контент-менеджер,content-manager,https://www.work.ua/career-guide/content-manager/,new_from_workua
cook,Кухар,cook,https://www.work.ua/career-guide/cook/,new_from_workua
copywriter,Копірайтер,copywriter,https://www.work.ua/career-guide/copywriter/,new_from_workua
cosmetologist,Косметолог,cosmetologist,https://www.work.ua/career-guide/cosmetologist/,new_from_workua
courier,Кур'єр,courier,https://www.work.ua/career-guide/courier/,new_from_workua
crane_operator,Машиніст крана,crane-operator,https://www.work.ua/career-guide/crane-operator/,new_from_workua
crisis_manager,Кризовий менеджер,crisis-manager,https://www.work.ua/career-guide/crisis-manager/,new_from_workua
customer_service_representative,Оператор call-центру,call-center-operator,https://www.work.ua/career-guide/call-center-operator/,candidate_wider
data_scientist,Data Scientist,data-scientist,https://www.work.ua/career-guide/data-scientist/,new_from_workua
dentist,Стоматолог,dentist,https://www.work.ua/career-guide/dentist/,new_from_workua
detective,Детектив,detective,https://www.work.ua/career-guide/detective/,new_from_workua
digital_marketer,Digital-маркетолог,digital-marketer,https://www.work.ua/career-guide/digital-marketer/,new_from_workua
dog_handler,Кінолог,cynologist,https://www.work.ua/career-guide/cynologist/,new_from_workua
driver,Водій,driver,https://www.work.ua/career-guide/driver/,new_from_workua
ecologist,Еколог,ecologist,https://www.work.ua/career-guide/ecologist/,new_from_workua
economist,Економіст,economist,https://www.work.ua/career-guide/economist/,new_from_workua
editor,Редактор,editor,https://www.work.ua/career-guide/editor/,new_from_workua
electrician,Електрик,electrician,https://www.work.ua/career-guide/electrician/,new_from_workua
endocrinologist,Ендокринолог,endocrinologist,https://www.work.ua/career-guide/endocrinologist/,new_from_workua
engineer_generic,Інженер,engineer,https://www.work.ua/career-guide/engineer/,new_from_workua
event_manager,Івент-менеджер,event-manager,https://www.work.ua/career-guide/event-manager/,new_from_workua
film_director,Режисер,stage-director,https://www.work.ua/career-guide/stage-director/,new_from_workua
financial_analyst,Фінансовий аналітик,financial-analyst,https://www.work.ua/career-guide/financial-analyst/,new_from_workua
flight_attendant,Бортпровідник,stewart,https://www.work.ua/career-guide/stewart/,new_from_workua
florist,Флорист,florist,https://www.work.ua/career-guide/florist/,new_from_workua
forwarder,Експедитор,forwarder,https://www.work.ua/career-guide/forwarder/,new_from_workua
frontend_html_developer,HTML-верстальник,html-maker,https://www.work.ua/career-guide/html-maker/,new_from_workua
game_designer,Геймдизайнер,game-designer,https://www.work.ua/career-guide/game-designer/,new_from_workua
gardener,Садівник,gardener,https://www.work.ua/career-guide/gardener/,new_from_workua
gas_station_operator,Оператор АЗК,gas-station-operator,https://www.work.ua/career-guide/gas-station-operator/,new_from_workua
geodesist,Геодезист,geodesist,https://www.work.ua/career-guide/geodesist/,new_from_workua
geologist,Геолог,geologist,https://www.work.ua/career-guide/geologist/,new_from_workua
graphic_designer,Дизайнер,designer,https://www.work.ua/career-guide/designer/,new_from_workua
gym_instructor,Інструктор тренажерного залу,gym-instructor,https://www.work.ua/career-guide/gym-instructor/,new_from_workua
hairdresser,Перукар,hairdresser,https://www.work.ua/career-guide/hairdresser/,new_from_workua
hostess,Хостес,hostess,https://www.work.ua/career-guide/hostess/,new_from_workua
hr_manager,Менеджер з персоналу,hr-manager,https://www.work.ua/career-guide/hr-manager/,new_from_workua
insurance_agent,Страховий агент,insurance-agent,https://www.work.ua/career-guide/insurance-agent/,new_from_workua
ios_developer,iOS-розробник,ios-developer,https://www.work.ua/career-guide/ios-developer/,new_from_workua
java_developer,Програміст Java,java-programmer,https://www.work.ua/career-guide/java-programmer/,new_from_workua
journalist,Журналіст,journalist,https://www.work.ua/career-guide/journalist/,new_from_workua
laboratory_doctor,Лікар-лаборант,doctor-laboratory-assistant,https://www.work.ua/career-guide/doctor-laboratory-assistant/,new_from_workua
land_surveyor_manager,Землевпорядник,landmanager,https://www.work.ua/career-guide/landmanager/,new_from_workua
landscape_designer,Ландшафтний дизайнер,landscaper,https://www.work.ua/career-guide/landscaper/,new_from_workua
lawyer,Юрист,lawyer,https://www.work.ua/career-guide/lawyer/,new_from_workua
librarian,Бібліотекар,librarian,https://www.work.ua/career-guide/librarian/,new_from_workua
loader,Вантажник,loader,https://www.work.ua/career-guide/loader/,new_from_workua
locksmith_fitter,Слюсар,locksmith,https://www.work.ua/career-guide/locksmith/,new_from_workua
logistics_coordinator,Логіст,logistician,https://www.work.ua/career-guide/logistician/,candidate_confident
makeup_artist,Візажист,makeup-artist,https://www.work.ua/career-guide/makeup-artist/,new_from_workua
manicurist,Майстер манікюру,manicurist,https://www.work.ua/career-guide/manicurist/,new_from_workua
marketer,Маркетолог,marketer,https://www.work.ua/career-guide/marketer/,new_from_workua
marketing_strategist,Маркетинговий стратег,marketing-strategist,https://www.work.ua/career-guide/marketing-strategist/,new_from_workua
mechanic_auto,Автомеханік,mechanic,https://www.work.ua/career-guide/mechanic/,new_from_workua
media_buyer,Медіабаєр,mediabuyer,https://www.work.ua/career-guide/mediabuyer/,new_from_workua
merchandise_expert,Товарознавець,merchant,https://www.work.ua/career-guide/merchant/,new_from_workua
merchandiser,Мерчендайзер,merchandiser,https://www.work.ua/career-guide/merchandiser/,new_from_workua
milking_operator,Оператор машинного доїння,milking-machine-operator,https://www.work.ua/career-guide/milking-machine-operator/,new_from_workua
model,Модель,model,https://www.work.ua/career-guide/model/,new_from_workua
motion_designer,Motion-дизайнер,motion-designer,https://www.work.ua/career-guide/motion-designer/,new_from_workua
notary,Нотаріус,notary,https://www.work.ua/career-guide/notary/,new_from_workua
nurse,Медична сестра,nurse,https://www.work.ua/career-guide/nurse/,new_from_workua
office_manager,Офіс-менеджер,office-manager,https://www.work.ua/career-guide/office-manager/,new_from_workua
ophthalmologist,Офтальмолог,oculist,https://www.work.ua/career-guide/oculist/,new_from_workua
packer,Пакувальник,packer,https://www.work.ua/career-guide/packer/,new_from_workua
painter_plasterer,Маляр,painter,https://www.work.ua/career-guide/painter/,new_from_workua
pathologist,Патологоанатом,anatomical-pathologist,https://www.work.ua/career-guide/anatomical-pathologist/,new_from_workua
pet_groomer,Грумер,groomer,https://www.work.ua/career-guide/groomer/,new_from_workua
pharmacist_provisor,Провізор,provizor,https://www.work.ua/career-guide/provizor/,new_from_workua
